data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_hrs,duration_min,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare_USD,prices_lowfareplus_USD,prices_flex_USD,prices_prem_USD,prices_premflex_USD,prices_lowfare_GBP,prices_lowfareplus_GBP,prices_flex_GBP,prices_prem_GBP,prices_premflex_GBP,prices_lowfare_EUR,prices_lowfareplus_EUR,prices_flex_EUR,prices_prem_EUR,prices_premflex_EUR,prices_lowfare_SEK,prices_lowfareplus_SEK,prices_flex_SEK,prices_prem_SEK,prices_premflex_SEK
19-06-02 12:34:56,,JFK,CPH,6/6/2019,22:05,17:05 +1,13,0,780,1,,Oslo,4h 30m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-06-02 12:34:56,DI7016,JFK,CPH,6/6/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,660.4,750.4,1066,1240.4,1286,483.5,533.5,774.6,898.5,934.6,561.61,631.61,948.98,1104.59,1145.42,6032,6582,10201,11876,12315
19-06-02 12:34:56,DY7704,JFK,CPH,6/6/2019,23:55,19:40 +1,13,45,825,1,D86112,Madrid,3h 25m,687.8,777.8,1178.9,1147.8,1208.9,544,594,937.6,913.4,961.7,588.17,658.17,1012.83,1008.17,1062.83,6631,7181,11430,11136,11724
19-06-02 12:34:56,DY7700,JFK,CPH,6/6/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,,,,1184.2,1351.4,,,,942.6,1074.7,,,,1004.63,1154.35,,,,11492,13103
19-06-02 12:34:56,DI7018,JFK,CPH,6/6/2019,22:10,18:15 +1,14,5,845,1,D82908,London,5h 15m,660.4,750.4,1066,1450.4,1496,483.5,533.5,774.6,1048.5,1084.6,561.61,631.61,948.98,1292.06,1332.89,6032,6582,10201,13893,14332
19-06-02 12:35:12,DY7012,JFK,CPH,6/7/2019,22:05,11:40 +1,7,35,455,0,,,,,,904.9,,,,,743.7,,,,,842.71,,,,,9069,,
19-06-02 12:35:12,DY7002,JFK,CPH,6/7/2019,23:30,18:55 +1,13,25,805,1,DY948,Oslo,4h 55m,771.3,861.3,939,1121.3,1169,499.2,549.2,612.2,734.7,772.3,567.77,637.77,695.88,834.67,877.37,6087,6637,7466,8959,9419
19-06-02 12:35:12,DY7700,JFK,CPH,6/7/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,,,,1275.4,1351.4,,,,1014.6,1074.7,,,,1086.3,1154.35,,,,12371,13103
19-06-02 12:35:27,DI7016,JFK,CPH,6/8/2019,23:00,15:25 +1,10,25,625,1,D82904,London,1h 35m,684.4,774.4,1066,1164.4,1286,493.5,543.5,774.6,838.5,934.6,575,645,948.98,1036.53,1145.42,6176,6726,10201,11143,12315
19-06-02 12:35:27,DY7002,JFK,CPH,6/8/2019,22:05,15:00 +1,10,55,655,1,DY940,Oslo,2h 25m,997.9,1087.9,1079,1087.9,1169,642.4,692.4,706.4,708.3,772.3,730.05,800.05,802.64,804.78,877.37,7833,8383,8615,8637,9419
19-06-02 12:35:27,DY7002,JFK,CPH,6/8/2019,22:05,16:30 +1,12,25,745,1,D83224,Oslo,3h 55m,1013.4,1103.4,1079,1103.4,1169,654.6,704.6,706.4,720.5,772.3,743.92,813.92,802.64,818.65,877.37,7983,8533,8615,8787,9419
19-06-02 12:35:27,DI7016,JFK,CPH,6/8/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,730,820,1066,1210,1286,529.5,579.5,774.6,874.5,934.6,615.84,685.84,948.98,1077.37,1145.42,6616,7166,10201,11583,12315
19-06-02 12:35:27,DY7704,JFK,CPH,6/8/2019,23:55,19:20 +1,13,25,805,1,D86112,Madrid,3h 5m,727.8,817.8,1178.9,927.8,1208.9,576.2,626.2,937.6,716.3,961.7,628.17,698.17,1012.83,788.17,1062.83,7023,7573,11430,8733,11724
