,date_year,date_month,date_day,price,fare_type,date
5,2019,05,30,1020.0,standard_lowfare,2019-05-30
0,2019,05,31,794.9,standard_lowfare,2019-05-31
0,2019,06,01,826.2,standard_lowfare,2019-06-01
1,2019,06,01,823.6,standard_lowfare,2019-06-01
2,2019,06,01,801.2,standard_lowfare,2019-06-01
3,2019,06,01,812.4,standard_lowfare,2019-06-01
4,2019,06,01,826.2,standard_lowfare,2019-06-01
5,2019,06,01,832.9,standard_lowfare,2019-06-01
6,2019,06,01,826.2,standard_lowfare,2019-06-01
7,2019,06,01,776.6,standard_lowfare,2019-06-01
0,2019,06,02,797.7,standard_lowfare,2019-06-02
1,2019,06,02,826.2,standard_lowfare,2019-06-02
2,2019,06,02,797.7,standard_lowfare,2019-06-02
3,2019,06,02,797.7,standard_lowfare,2019-06-02
4,2019,06,02,674.5,standard_lowfare,2019-06-02
0,2019,06,03,668.7,standard_lowfare,2019-06-03
1,2019,06,03,595.8,standard_lowfare,2019-06-03
2,2019,06,03,668.7,standard_lowfare,2019-06-03
0,2019,06,04,569.9,standard_lowfare,2019-06-04
1,2019,06,04,757.0,standard_lowfare,2019-06-04
2,2019,06,04,668.7,standard_lowfare,2019-06-04
3,2019,06,04,779.4,standard_lowfare,2019-06-04
4,2019,06,04,895.7,standard_lowfare,2019-06-04
5,2019,06,04,668.7,standard_lowfare,2019-06-04
0,2019,06,05,865.1,standard_lowfare,2019-06-05
1,2019,06,05,668.7,standard_lowfare,2019-06-05
2,2019,06,05,900.8,standard_lowfare,2019-06-05
3,2019,06,05,924.6,standard_lowfare,2019-06-05
4,2019,06,05,615.5,standard_lowfare,2019-06-05
5,2019,06,05,837.7,standard_lowfare,2019-06-05
6,2019,06,05,676.2,standard_lowfare,2019-06-05
0,2019,06,06,759.7,standard_lowfare,2019-06-06
1,2019,06,06,866.6,standard_lowfare,2019-06-06
2,2019,06,06,866.6,standard_lowfare,2019-06-06
3,2019,06,06,902.4,standard_lowfare,2019-06-06
4,2019,06,06,805.6,standard_lowfare,2019-06-06
5,2019,06,06,759.7,standard_lowfare,2019-06-06
6,2019,06,06,880.0,standard_lowfare,2019-06-06
0,2019,06,07,659.9,standard_lowfare,2019-06-07
0,2019,06,08,759.7,standard_lowfare,2019-06-08
1,2019,06,08,1006.6,standard_lowfare,2019-06-08
2,2019,06,08,1006.6,standard_lowfare,2019-06-08
3,2019,06,08,934.1,standard_lowfare,2019-06-08
4,2019,06,08,1006.6,standard_lowfare,2019-06-08
5,2019,06,08,759.7,standard_lowfare,2019-06-08
6,2019,06,08,798.1,standard_lowfare,2019-06-08
7,2019,06,08,759.7,standard_lowfare,2019-06-08
8,2019,06,08,1006.6,standard_lowfare,2019-06-08
0,2019,06,09,1097.7,standard_lowfare,2019-06-09
1,2019,06,09,790.0,standard_lowfare,2019-06-09
2,2019,06,09,1097.7,standard_lowfare,2019-06-09
3,2019,06,09,699.0,standard_lowfare,2019-06-09
0,2019,06,10,794.9,standard_lowfare,2019-06-10
1,2019,06,10,738.7,standard_lowfare,2019-06-10
2,2019,06,10,665.5,standard_lowfare,2019-06-10
3,2019,06,10,715.8,standard_lowfare,2019-06-10
0,2019,06,11,1090.0,standard_lowfare,2019-06-11
1,2019,06,11,645.8,standard_lowfare,2019-06-11
2,2019,06,11,1101.2,standard_lowfare,2019-06-11
3,2019,06,11,1158.2,standard_lowfare,2019-06-11
4,2019,06,11,645.8,standard_lowfare,2019-06-11
0,2019,06,12,1027.7,standard_lowfare,2019-06-12
1,2019,06,12,668.7,standard_lowfare,2019-06-12
2,2019,06,12,1027.7,standard_lowfare,2019-06-12
3,2019,06,12,1033.7,standard_lowfare,2019-06-12
4,2019,06,12,805.5,standard_lowfare,2019-06-12
5,2019,06,12,1027.7,standard_lowfare,2019-06-12
6,2019,06,12,668.7,standard_lowfare,2019-06-12
0,2019,06,13,904.2,standard_lowfare,2019-06-13
1,2019,06,13,1020.0,standard_lowfare,2019-06-13
2,2019,06,13,1031.2,standard_lowfare,2019-06-13
